,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
248,aluguel,Apartamento,Bonfim, Rua Travasso do Meio,,50.0,2,0,1,800.0
249,aluguel,Apartamento,Massaranduba, Travessa Kennedy,,100.0,3,0,1,850.0
250,aluguel,Loja,Monte Serrat, Rua Terceiro Barreiro,14.0,50.0,0,0,1,850.0
251,aluguel,Apartamento,Cidade Nova, Avenida das Almas,14.0,65.0,2,0,1,950.0
252,aluguel,Apartamento,Iapi, Rua Marechal Rondon,,80.0,3,1,1,950.0
253,aluguel,Apartamento,Monte Serrat, Rua Rio Jacuípe,55.0,70.0,2,0,2,1000.0
254,aluguel,Loja,Roma, Rua Roberto Corrêa,6.0,80.0,0,0,1,1000.0
255,aluguel,Sala,São Marcos, Rua Jornalista Regina Célia Santana Dias,,42.0,0,0,1,1000.0
256,aluguel,Sala,São Marcos, Rua Jornalista Regina Célia Santana Dias,85.0,42.0,0,0,1,1000.0
257,aluguel,Apartamento,Mares, Avenida Fernandes da Cunha,41.0,95.0,2,0,2,1100.0
258,aluguel,Casa Comercial,Liberdade, Rua São Cristóvão,59.0,100.0,0,0,2,2100.0
259,aluguel,Conjunto de salas,Mares, Avenida Fernandes da Cunha,,115.0,0,3,1,2500.0
260,aluguel,Loja,Roma, Avenida Caminho de Areia,1.0,65.0,0,0,1,2500.0
261,aluguel,Loja,Caminho de Areia, Avenida Caminho de Areia,135.0,85.0,0,0,2,3800.0
262,aluguel,Loja,Ribeira, Avenida Beira Mar,229.0,130.0,0,0,3,4000.0
263,aluguel,Sobre-loja,Roma, Praça Irmã Dulce,2.0,180.0,0,0,1,4000.0
264,aluguel,Loja,Caminho de Areia, Avenida Caminho de Areia,227.0,200.0,0,0,2,4800.0
265,aluguel,Galpão,Ribeira, Avenida Porto dos Mastros,26.0,350.0,0,0,4,5000.0
266,aluguel,Loja,Tancredo Neves, Rua Direta de Tancredo Neves,1.0,500.0,0,0,5,5000.0
267,aluguel,Loja,Ribeira, Avenida Beira Mar,473.0,500.0,0,0,5,8500.0
268,aluguel,Loja,Caminho de Areia, Avenida Caminho de Areia,233.0,220.0,0,2,2,8500.0
269,aluguel,Loja,Liberdade, Estrada da Liberdade,366.0,250.0,0,0,1,8500.0
270,aluguel,Loja,Caminho de Areia, Avenida Caminho de Areia,153.0,380.0,0,3,3,19000.0
271,aluguel,Loja,Pituba, Alameda Pádua,,13.0,0,0,0,500.0
272,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,600.0
273,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,27.0,0,1,1,700.0
274,aluguel,Sala,Parque Bela Vista, Rua Senador Theotônio Vilela,,20.0,0,1,1,750.0
275,aluguel,Sala,Itaigara, Avenida Antônio Carlos Magalhães,480.0,28.0,0,0,1,800.0
276,aluguel,Apartamento,Dois de Julho, Rua da Faísca,96.0,40.0,1,0,1,850.0
277,aluguel,Sala,Itaigara, Avenida Antônio Carlos Magalhães,480.0,24.0,0,0,1,850.0
278,aluguel,Sala,Paripe, Rua Doutor Eduardo Dotto,2.0,29.0,0,0,1,1000.0
279,aluguel,Sala,Amaralina, Travessa Doutor Artur Napoleão Carneiro Rego,,17.5,0,0,9,1000.0
280,aluguel,Apartamento,Rio Vermelho, Rua Archibaldo Baleeiro,172.0,35.0,1,1,1,1100.0
281,aluguel,Apartamento,Acupe de Brotas, Rua Urbino de Aguiar,401.0,66.19,2,1,1,1100.0
282,aluguel,Sala,Pituba, Rua das Hortênsias,,22.0,0,1,1,1100.0
283,aluguel,Sobre-loja,Comércio, Rua Lauro Muller,,85.0,0,0,1,1188.0
284,aluguel,Apartamento,Brotas, Rua Doutor Filinto Borja,,103.0,3,1,3,2160.0
285,aluguel,Sala,Graça, Rua Humberto de Campos,,80.0,0,1,0,2231.0
286,aluguel,Conjunto de salas,Itaigara, Avenida Antônio Carlos Magalhães,480.0,75.0,0,0,3,2400.0
287,aluguel,Loja,Itaigara, Avenida Antônio Carlos Magalhães,480.0,23.0,0,0,1,2400.0
288,aluguel,Sala,Rio Vermelho, Rua Aimorés,68.0,100.0,0,0,2,2500.0
289,aluguel,Apartamento,Barra, Rua Guadalajara,,150.0,3,1,2,2520.0
290,aluguel,Apartamento,Pituba, Rua Magno Valente,,112.3,3,2,3,2700.0
291,aluguel,Apartamento,Barra, Rua Doutor Pedro de Souza Pondé,,120.0,3,1,3,2730.0
292,aluguel,Apartamento,Stiep, Alameda Marine,,102.0,3,2,3,2830.0
293,aluguel,Conjunto de salas,Candeal, Rua Leonor Calmon,256.0,83.0,0,4,3,2900.0
294,aluguel,Galpão,Valéria, Rodovia Br-324,,468.0,0,15,0,9900.0
295,aluguel,Casa,Itaigara, Rua João da Silva Campos,491.0,400.0,4,2,5,10000.0
296,aluguel,Casa Comercial,Acupe de Brotas, Avenida General Graça Lessa,,350.0,0,9,4,10000.0
297,aluguel,Salão,Itaigara, Avenida Antônio Carlos Magalhães,1034.0,240.0,0,3,3,10320.0
298,aluguel,Casa Comercial,Barra, Rua Raul Drumond,,250.0,3,0,3,11000.0
299,aluguel,Casa Comercial,Graça, Rua Manoel Barreto,,248.0,5,2,3,11000.0
300,aluguel,Ponto comercial,Rio Vermelho, Rua da Paciência,,525.0,0,0,0,13000.0
301,aluguel,Casa Comercial,Praia do Flamengo, Rua Thales de Azevedo,584.0,545.0,0,3,0,17000.0
302,aluguel,Ponto comercial,Pituaçu, Rua Marquês de Queluz,22.0,3000.0,0,0,1,25000.0
303,aluguel,Casa Comercial,Pituba, Avenida Paulo Vi,,405.0,0,12,0,26000.0
304,aluguel,Casa Comercial,Graça, Rua Humberto de Campos,,520.0,7,0,4,28000.0
305,aluguel,Prédio,Politeama, Rua Politeama de Cima,,510.0,0,0,5,30000.0
306,aluguel,Sala,Pituba, Avenida Antônio Carlos Magalhães,,671.0,0,0,0,33550.0
307,aluguel,Loja,Itaigara, Avenida Antônio Carlos Magalhães,1034.0,426.0,0,6,0,45000.0
308,aluguel,Prédio,Pituba, Rua Rubem Berta,,3000.0,0,0,18,45000.0
309,aluguel,Prédio,Pituba, Avenida Paulo Vi,,2550.0,0,47,0,115000.0
