,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
122,venda,Apartamento,Jardim Apipema, Rua Christiano Ottoni,,305.0,4,4,5,1300000
123,venda,Casa,Itaigara, Rua Hermann Neeser,575.0,301.09,3,2,5,1400000
124,venda,Casa em condomínio,Ondina, Travessa Guedeville,,260.0,4,6,6,1750000
125,venda,Apartamento,Jardim Apipema, Rua Plínio Moscoso,,332.16,4,4,5,1843000
126,venda,Sala,Caminho das Árvores, Rua Frederico Simões,,28.5,0,1,1,210000
127,venda,Apartamento,Jardim das Margaridas, Rua Joaquim Ferreira,,50.0,2,1,2,220000
128,venda,Apartamento,Federação, Rua Jardim Federação,,73.0,2,1,3,220000
129,venda,Apartamento,Barra, Avenida Princesa Isabel,,45.0,1,1,1,230000
130,venda,Apartamento,Pituba,,,42.8,1,1,1,230000
131,venda,Apartamento,Politeama, Rua Clóvis Spínola,40.0,75.62,2,1,2,235000
132,venda,Apartamento,Acupe de Brotas, Ladeira do Acupe,,72.86,2,1,2,240000
133,venda,Apartamento,Daniel Lisboa, Rua Padre Daniel Lisboa,31.0,70.54,3,1,2,250000
134,venda,Apartamento,Jardim das Margaridas, Rua Joaquim Ferreira,,64.0,3,1,2,250000
135,venda,Apartamento,Pituaçu, Rua André Gonçalves,,55.0,2,1,2,270000
136,venda,Apartamento,Nazaré, Rua Professor Américo Simas,,105.0,3,0,2,270000
137,venda,Apartamento,Barra, Avenida Princesa Isabel,526.0,47.0,1,1,1,280000
138,venda,Sala,Federação, Rua Agnelo Brito,259.0,84.05,0,2,2,285000
139,venda,Apartamento,Stiep, Conjunto Bancários do Stiep,,57.96,3,0,2,290000
140,venda,Apartamento,Rio Vermelho, Rua do Mirante,58.0,44.0,1,1,1,300000
141,venda,Apartamento,Federação, Rua Sérgio de Carvalho,,62.69,3,1,1,300000
142,venda,Apartamento,Amaralina, Rua Campo Formoso,,65.55,3,1,2,300000
143,venda,Apartamento,Jardim Apipema, Rua Plínio Moscoso,793.0,75.0,3,1,2,300000
144,venda,Apartamento,Narandiba, Rua Amazonas,,57.7,2,2,1,310000
145,venda,Apartamento,Doron, Rua Péricles Cardoso,,64.0,2,1,2,310000
146,venda,Apartamento,Pituba, Rua Edmar Guimarães,41.0,52.4,1,1,1,330000
